number,title,state,labels,milestone,user,assignee,assignees,created_at,updated_at,closed_at,body
39,Quick Bugfix,closed,,Sprint 4 - BTS630,benwhitecoop2,benwhitecoop2,benwhitecoop2,2021-03-26T19:06:09Z,2021-04-09T01:25:02Z,2021-04-09T01:25:02Z,"**User Story:**

This will be a purely back-end operation to fix a bug that occurred during last week's presentation.

**Description:**

During the last presentation, an error occurred after querying an image uploaded by the facebook module. I know exactly why this bug occurs, but since it occurred during the presentation I want to make a point of fixing it.

**Deliverables:**
- [x] Fix the module processing bug that occurred during last week's sprint review. I know why this error occurred, it's a simple fix. It's not immediately relevant to this issue, but since it is a minor fix I have included it here.

**Testing Criteria:**

Demonstrate that the module processing bug does not occur anymore
"
38,Image resizing for AWS storage,closed,,Sprint 4 - BTS630,y-ismail,y-ismail,y-ismail,2021-03-26T16:21:07Z,2021-04-08T23:13:00Z,2021-04-08T23:13:00Z,"**User Story**
This is a purely backend operation in order to reduce file size being stored.

**Description**
The regular resizing of profile images uploaded by the user doesn't work with AWS storage, in order to keep a smaller file size the images should be resized before being saved.

**Acceptance Criteria**
A resized image stored in an AWS storage bucket.

**Deliverables**

- [x] A process to resize a user uploaded profile image

**Testing Criteria**
* Ensure the uploaded image is resized while also maintaining its aspect ratio."
37,Implement the tagged page ,closed,,Sprint 4 - BTS630,y-ismail,y-ismail,y-ismail,2021-03-26T16:04:48Z,2021-04-09T16:47:11Z,2021-04-09T16:47:11Z,"**User Story**
The user can see photos that have their face in on the tagged page.

**Description**
This will take advantage of Bens face query, there will be a request to the server to retrieve photos with the users name associated with a face and it will be displayed in the tagged page.

**Deliverables**

- [x] Photos of the user on the tagged page

**Acceptance Criteria**
The photos that are displayed have a face associated with the current user of the app.

**Testing Criteria**
* Make sure the image displayed has a face associated with the current user.
* The tags on the image are displayed correctly and have correct links to user profiles."
36,Fine-tunning the face recognition pipeline,closed,,Sprint 4 - BTS630,akitak1290,akitak1290,akitak1290,2021-03-26T15:16:50Z,2021-04-09T17:52:29Z,2021-04-09T17:52:29Z,"**User story:**
This is a pure back-end operation and will not be related to the users.

**Description:**
The current pipeline at the moment produces a relatively low accuracy when recognizing faces. This sprint is dedicated to fine-tuning the pipeline and also adding a few filters to archive a better result.

**Acceptance Criteria:**

- [ ] Replace and integrate the embedding model with dlib's to improve accuracy.
- [x] Add a new filter to detect unknown faces.
- [x] Add a new filter to detect false-positive.

"
35,Exposing user routes & Improvements on the face querying / name modification routes,closed,,Sprint 4 - BTS630,benwhitecoop2,benwhitecoop2,benwhitecoop2,2021-03-25T20:48:56Z,2021-04-09T01:25:02Z,2021-04-09T01:25:01Z,"**User Story:**

This will be a mostly back-end operation to implement the remaining required functionality regarding images and users in the database. When interfaced with the front-end, this will enable users to modify image metadata, and assign images to users.

**Description:**

All of the required metadata and functionality is currently provided for a user to upload an image, perform processing, and view that processed image. What remains to be done is expose this functionality to the front end, which will be done in this issue.

**Deliverables:**
- [x] Implement automatic user assignment for uploaded images
- [x] Expose the 'face querying' route to the front end, to enable users to search images by face
- [x] Expose the 'name modification' route to the front end, to enable users to assign names to faces
- [x] Modify the 'face querying' route to allow batch queries (i.e. images that contain ""name1"" and ""name2"" and so on...)

**Testing Criteria:**

Showcase automatic user assignment when uploading images, and showcase querying images based on the user field.
Showcase the improved face querying route 
Showcase the name modification route
"
34,Front end deployment to Heroku,closed,,,y-ismail,y-ismail,y-ismail,2021-03-19T19:24:25Z,2021-04-08T21:06:17Z,2021-04-08T21:06:17Z,"**User story**
This is a backend operation to deploy the Django application to Heroku

***Description**
The Django app will be available online through Heroku for anyone to visit.

**Acceptance Criteria**
The application being available through Heroku and having all the functionality as expected.

**Deliverables**

- [x] Django application on Heroku and a link to the application"
33,Added a testing module for the facial recognition pipeline,closed,,BTS630 - Sprint 3,akitak1290,akitak1290,akitak1290,2021-03-19T16:24:53Z,2021-03-19T16:56:18Z,2021-03-19T16:56:18Z,"**User story:**

This will be a pure back-end operation and will not involve any user-related activity.

**Description:**

Adding a test module to automate the photo processing, feature and label extracting,  training, and testing processes for multiple photos of the current facial recognition pipeline.

**Acceptance Criteria:**
- [x] Add a directory to store all the testing dataset to test the model against multiple photos.
- [x] Have a working file processing system to add and rename new testing photos to the unified testing pool.
- [x] Properly changing the photo file name when moving to the correct person name.
- [x] Have logic to extract the photo file names for comparison when predicting faces.
- [x] Document and export the result of each prediction to .csv file.

**Testing:**

- The model can add and process new photos added to the testing pool.
- Photo file names are correctly extracted.
- Properly chang the new file name to avoid collisions when moving to the testing pool.
"
32,Password reset,closed,,BTS630 - Sprint 3,y-ismail,y-ismail,y-ismail,2021-03-19T01:10:27Z,2021-03-19T16:44:27Z,2021-03-19T16:44:27Z,"**User Story**
The user will be able to reset their password if they forget it.

**Description**
A link and emailing system to send emails to users in order to reset a password.

**Acceptance Criteria**
The user can reset password

**Deliverables**

- [x] An email available to use with the app to send the user emails
- [x] Series of password reset routes and forms to reset a password
"
31,Addition of relevant image metadata to the image_data table,closed,,BTS630 - Sprint 3,benwhitecoop2,benwhitecoop2,benwhitecoop2,2021-02-26T19:24:58Z,2021-03-19T19:10:45Z,2021-03-19T18:26:42Z,"**User Story:**

This will be a purely back-end operation and will not involve any user related activity. However, given the focus on metadata and information about pictures at this point in the project, this will enable users to browse and sort their images, and enable the server to parse images for datasets.

**Description:**

Currently, the server & database are capable of sorting images by name and hash. This is not practical for presenting images to the user, or sorting images for a new dataset. Therefore, this issue will seek to add relevant metadata to the image_data table, and add matching queries to the database to present these images. 

**Deliverables:**
- [x] Add 'user' field to image_data, add 'query by user' query
- [x] Add nullable fields to 'image_data', such as ""people in this photo""
- [x] Add an update route for the user to manually edit the ""image_data"" metadata

**Testing Criteria:**

Images can be uploaded to the database with extra metadata. Images can be retrieved from the database in sets using the extra metadata. Finally, the metadata contained within ""image_data"" can be manually edited by the user.
"
30,Interface the Fb/Ig modules with the database,closed,,BTS630 - Sprint 3,benwhitecoop2,benwhitecoop2,benwhitecoop2,2021-02-26T19:16:11Z,2021-03-25T20:39:57Z,2021-03-19T18:27:20Z,"**User Story:**

This will be a purely back-end operation and will not involve any user related activity beyond the function of the Facebook/Instagram modules.

**Description:**

As we now have integrated the Facebook/Instagram modules and can use them to download user photos, the final step is to integrate that process with the database. Luckily, the interface for this is already present (with the upload_module route).

**Deliverables:**
- [x] Interface the Facebook module with the upload_module route
- [x] Interface the Instagram module with the upload_module route

**Testing Criteria:**

The images retrieved by the Fb/Ig modules will be visible in the database, and can be retrieved & processed via the 'retrieve' route.
"
